,name,error,time_taken,rank,recompression_rank,run,left_rank,right_rank
0,HMT,0.004184562461269916,0.2381217679940164,10.0,10.0,0.0,,
1,HMT,0.0028272122212478087,0.09120212495326996,10.0,10.0,1.0,,
2,HMT,0.0025104016344921075,0.04080698825418949,10.0,10.0,2.0,,
3,HMT,0.00320752325997771,0.040951456874608994,10.0,10.0,3.0,,
4,HMT,0.002073898386639036,0.06965011823922396,10.0,10.0,4.0,,
5,HMT,0.002074227044752624,0.0347679671831429,10.0,10.0,5.0,,
6,HMT,0.004298708551013691,0.037304291035979986,10.0,10.0,6.0,,
7,HMT,0.009147412903866224,0.035560359712690115,10.0,10.0,7.0,,
8,HMT,0.0020550133972088653,0.034296485129743814,10.0,10.0,8.0,,
9,HMT,0.0024111344478029133,0.03552302811294794,10.0,10.0,9.0,,
10,HMT,0.005929396001812526,0.05643656710162759,10.0,10.0,10.0,,
11,HMT,0.002873034608655489,0.04280852898955345,10.0,10.0,11.0,,
12,HMT,0.003552095120312598,0.038592105731368065,10.0,10.0,12.0,,
13,HMT,0.0030951482046725895,0.032448102720081806,10.0,10.0,13.0,,
14,HMT,0.005959933094545153,0.05049283802509308,10.0,10.0,14.0,,
15,HMT,0.0022961472793815558,0.035011576022952795,10.0,10.0,15.0,,
16,HMT,0.0019408587894444763,0.051021468825638294,10.0,10.0,16.0,,
17,HMT,0.0037509857651183425,0.05765497824177146,10.0,10.0,17.0,,
18,HMT,0.003075346545755231,0.05222106911242008,10.0,10.0,18.0,,
19,HMT,0.0020874978825574887,0.03881929907947779,10.0,10.0,19.0,,
20,HMT,0.0038470220900786636,0.03663754276931286,10.0,10.0,20.0,,
21,HMT,0.002586155051065361,0.042442645877599716,10.0,10.0,21.0,,
22,HMT,0.0030383656509953743,0.042476776987314224,10.0,10.0,22.0,,
23,HMT,0.005513060164345525,0.03607866773381829,10.0,10.0,23.0,,
24,HMT,0.002343603678693658,0.037210846319794655,10.0,10.0,24.0,,
25,HMT,0.0025793666666652517,0.03969325590878725,10.0,10.0,25.0,,
26,HMT,0.0024496349969213307,0.035584111232310534,10.0,10.0,26.0,,
27,HMT,0.002718140308962704,0.03813822707161307,10.0,10.0,27.0,,
28,HMT,0.0023170347946325433,0.04148821905255318,10.0,10.0,28.0,,
29,HMT,0.002336873719031439,0.034362935926765203,10.0,10.0,29.0,,
30,HMT,0.0011742973131912747,0.07987220212817192,11.0,10.0,0.0,,
31,HMT,0.0014387733802498723,0.047078241128474474,11.0,10.0,1.0,,
32,HMT,0.0010262859675118103,0.04189237765967846,11.0,10.0,2.0,,
33,HMT,0.0010315025894855482,0.038727119099348783,11.0,10.0,3.0,,
34,HMT,0.002078778889119775,0.03752309503033757,11.0,10.0,4.0,,
35,HMT,0.0008143325728603935,0.03651567595079541,11.0,10.0,5.0,,
36,HMT,0.0014194116536353327,0.036216483917087317,11.0,10.0,6.0,,
37,HMT,0.002352078387048351,0.037078581750392914,11.0,10.0,7.0,,
38,HMT,0.0022049599924682476,0.03676008293405175,11.0,10.0,8.0,,
39,HMT,0.0021355440250299634,0.04473160672932863,11.0,10.0,9.0,,
40,HMT,0.0009820166766847124,0.03426758339628577,11.0,10.0,10.0,,
41,HMT,0.0021701482994543426,0.04700684314593673,11.0,10.0,11.0,,
42,HMT,0.001142200336245249,0.03986635431647301,11.0,10.0,12.0,,
43,HMT,0.001687341815541055,0.04781715665012598,11.0,10.0,13.0,,
44,HMT,0.0017362159115930466,0.03609153302386403,11.0,10.0,14.0,,
45,HMT,0.0018006412148631045,0.03967224480584264,11.0,10.0,15.0,,
46,HMT,0.0023491607965694023,0.03727132314816117,11.0,10.0,16.0,,
47,HMT,0.0018939254691990584,0.04716577613726258,11.0,10.0,17.0,,
48,HMT,0.0011592476470593692,0.048267302103340626,11.0,10.0,18.0,,
49,HMT,0.001443929654579478,0.03629797510802746,11.0,10.0,19.0,,
50,HMT,0.00146008521537736,0.03860853333026171,11.0,10.0,20.0,,
51,HMT,0.0016919063410173912,0.03864126931875944,11.0,10.0,21.0,,
52,HMT,0.0010846998839431168,0.03758651902899146,11.0,10.0,22.0,,
53,HMT,0.0017885823338869727,0.03648076206445694,11.0,10.0,23.0,,
54,HMT,0.00210901176871859,0.03552734898403287,11.0,10.0,24.0,,
55,HMT,0.0010952842256305314,0.035768960136920214,11.0,10.0,25.0,,
56,HMT,0.0023999767946066355,0.03636683104559779,11.0,10.0,26.0,,
57,HMT,0.00161549269456178,0.03559192502871156,11.0,10.0,27.0,,
58,HMT,0.0008574013872047726,0.045773779042065144,11.0,10.0,28.0,,
59,HMT,0.0015731293807368849,0.03986605489626527,11.0,10.0,29.0,,
60,HMT,0.0007468173988455991,0.04180307313799858,12.0,10.0,0.0,,
61,HMT,0.0007277281750545295,0.04699655482545495,12.0,10.0,1.0,,
62,HMT,0.0010795557664825778,0.03697414696216583,12.0,10.0,2.0,,
63,HMT,0.0008875376931075599,0.03560607321560383,12.0,10.0,3.0,,
64,HMT,0.0007492710906706132,0.044716608710587025,12.0,10.0,4.0,,
65,HMT,0.0007314600764026241,0.042481068056076765,12.0,10.0,5.0,,
66,HMT,0.0007190974642313227,0.04042971879243851,12.0,10.0,6.0,,
67,HMT,0.0007612059899554926,0.05305107682943344,12.0,10.0,7.0,,
68,HMT,0.0008794161069209276,0.03803124884143472,12.0,10.0,8.0,,
69,HMT,0.0007383204920543451,0.038675008341670036,12.0,10.0,9.0,,
70,HMT,0.0009414258389217026,0.03938648896291852,12.0,10.0,10.0,,
71,HMT,0.0008661340106850159,0.03788151312619448,12.0,10.0,11.0,,
72,HMT,0.0013678518456233075,0.040652492083609104,12.0,10.0,12.0,,
73,HMT,0.0007459264858866851,0.11036972515285015,12.0,10.0,13.0,,
74,HMT,0.0007415391377725592,0.040178562980145216,12.0,10.0,14.0,,
75,HMT,0.0007176651510926801,0.0377130969427526,12.0,10.0,15.0,,
76,HMT,0.0007627304505590004,0.036000852938741446,12.0,10.0,16.0,,
77,HMT,0.0007544502312638857,0.039086041040718555,12.0,10.0,17.0,,
78,HMT,0.0007117041845076899,0.04099506698548794,12.0,10.0,18.0,,
79,HMT,0.001200518407450468,0.03696135990321636,12.0,10.0,19.0,,
80,HMT,0.0007712651720993729,0.03983987029641867,12.0,10.0,20.0,,
81,HMT,0.0007214846777971821,0.04184045968577266,12.0,10.0,21.0,,
82,HMT,0.0010427791780663622,0.04389405669644475,12.0,10.0,22.0,,
83,HMT,0.0008965389348649589,0.042778247967362404,12.0,10.0,23.0,,
84,HMT,0.0007174874799787753,0.03620209591463208,12.0,10.0,24.0,,
