,Unnamed: 0,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
46,46.0,STTAx2,0.3734957594724981,0.2134061681572348,15.0,30.0,150.0,15.0,3.0,tt_error_func,
47,47.0,STTAx2,0.0842868724824312,0.2351172468625009,25.0,50.0,150.0,25.0,3.0,tt_error_func,
48,48.0,STTAx2,0.0195867364602035,0.3013824699446559,35.0,70.0,150.0,35.0,3.0,tt_error_func,
49,49.0,STTAx2,0.0051932180181184,0.2994070879649371,45.0,90.0,150.0,45.0,3.0,tt_error_func,
50,50.0,STTAx2,0.0009899624086429,0.421238045906648,55.0,110.0,150.0,55.0,3.0,tt_error_func,
51,51.0,STTAx2,0.0002305239838965,0.4102163689676672,65.0,130.0,150.0,65.0,3.0,tt_error_func,
52,52.0,STTAx2,3.9762797724312615e-05,0.4805489648133516,75.0,150.0,150.0,75.0,3.0,tt_error_func,
53,53.0,STTAx2,1.218088788377598e-05,0.5480797567870468,85.0,170.0,150.0,85.0,3.0,tt_error_func,
54,54.0,STTAx2,2.9266874479411817e-06,0.538331497926265,95.0,190.0,150.0,95.0,3.0,tt_error_func,
55,55.0,STTAx2,5.130515775807163e-07,0.5965591971762478,105.0,210.0,150.0,105.0,3.0,tt_error_func,
56,56.0,STTAx2,1.1253654339297553e-07,0.6136287220288068,115.0,230.0,150.0,115.0,3.0,tt_error_func,
57,57.0,STTAx2,2.2504556937355524e-08,0.6231719348579645,125.0,250.0,150.0,125.0,3.0,tt_error_func,
58,58.0,STTAx2,5.355717104620468e-09,0.6784253870137036,135.0,270.0,150.0,135.0,3.0,tt_error_func,
59,59.0,STTAx2,7.092142572440131e-10,0.8094812510535121,145.0,290.0,150.0,145.0,3.0,tt_error_func,
60,60.0,STTAx2,1.3943968562562987,0.2297332729212939,5.0,10.0,150.0,5.0,4.0,tt_error_func,
61,61.0,STTAx2,0.3431118941527058,0.2116288100369274,15.0,30.0,150.0,15.0,4.0,tt_error_func,
62,62.0,STTAx2,0.0779893717516093,0.2566299079917371,25.0,50.0,150.0,25.0,4.0,tt_error_func,
63,63.0,STTAx2,0.0178628589037545,0.2899368871003389,35.0,70.0,150.0,35.0,4.0,tt_error_func,
64,64.0,STTAx2,0.0046310584788425,0.3649333470966667,45.0,90.0,150.0,45.0,4.0,tt_error_func,
65,65.0,STTAx2,0.0009769244787659,0.3704287011642009,55.0,110.0,150.0,55.0,4.0,tt_error_func,
66,66.0,STTAx2,0.0003187792719572,0.4714198759756982,65.0,130.0,150.0,65.0,4.0,tt_error_func,
67,67.0,STTAx2,4.785548956171625e-05,0.5150447979103774,75.0,150.0,150.0,75.0,4.0,tt_error_func,
68,68.0,STTAx2,9.794737217174747e-06,0.4663203079253435,85.0,170.0,150.0,85.0,4.0,tt_error_func,
69,69.0,STTAx2,2.129300602129104e-06,0.579400158021599,95.0,190.0,150.0,95.0,4.0,tt_error_func,
70,70.0,STTAx2,4.803287560156895e-07,0.5592462429776788,105.0,210.0,150.0,105.0,4.0,tt_error_func,
71,71.0,STTAx2,1.11609316974633e-07,0.5684168790467083,115.0,230.0,150.0,115.0,4.0,tt_error_func,
72,72.0,STTAx2,1.9113488856268522e-08,0.7568992900196463,125.0,250.0,150.0,125.0,4.0,tt_error_func,
73,73.0,STTAx2,4.544774210667676e-09,0.7036312001291662,135.0,270.0,150.0,135.0,4.0,tt_error_func,
74,74.0,STTAx2,9.47268639268816e-10,0.8609842548612505,145.0,290.0,150.0,145.0,4.0,tt_error_func,
75,75.0,STTAx2,1.4921651157480125,0.1516224639490246,5.0,10.0,150.0,5.0,5.0,tt_error_func,
76,76.0,STTAx2,0.3386013712505624,0.2274487658869475,15.0,30.0,150.0,15.0,5.0,tt_error_func,
77,77.0,STTAx2,0.0810958792434429,0.2590580279938876,25.0,50.0,150.0,25.0,5.0,tt_error_func,
78,78.0,STTAx2,0.0177929789876281,0.3122955090366304,35.0,70.0,150.0,35.0,5.0,tt_error_func,
79,79.0,STTAx2,0.0046192918888835,0.3921747021377086,45.0,90.0,150.0,45.0,5.0,tt_error_func,
80,80.0,STTAx2,0.0009361403701147,0.3410541990306228,55.0,110.0,150.0,55.0,5.0,tt_error_func,
81,81.0,STTAx2,0.0001733819799996,0.5528532168827951,65.0,130.0,150.0,65.0,5.0,tt_error_func,
82,82.0,STTAx2,5.225372967936114e-05,0.4379490460269153,75.0,150.0,150.0,75.0,5.0,tt_error_func,
83,83.0,STTAx2,1.1027072605076935e-05,0.5082286729011685,85.0,170.0,150.0,85.0,5.0,tt_error_func,
84,84.0,STTAx2,2.0965540048246247e-06,0.5423436898272485,95.0,190.0,150.0,95.0,5.0,tt_error_func,
85,85.0,STTAx2,5.166411396384467e-07,0.6325862389057875,105.0,210.0,150.0,105.0,5.0,tt_error_func,
86,86.0,STTAx2,9.59941908674765e-08,0.5755005730316043,115.0,230.0,150.0,115.0,5.0,tt_error_func,
87,87.0,STTAx2,2.370759314787866e-08,0.6537272201385349,125.0,250.0,150.0,125.0,5.0,tt_error_func,
88,88.0,STTAx2,3.759073461584528e-09,0.7182136529590935,135.0,270.0,150.0,135.0,5.0,tt_error_func,
89,89.0,STTAx2,7.617427315979327e-10,0.803998194867745,145.0,290.0,150.0,145.0,5.0,tt_error_func,
90,90.0,STTAx2,1.3652202143074723,0.2348672919906675,5.0,10.0,150.0,5.0,6.0,tt_error_func,
91,91.0,STTAx2,0.3526627733185886,0.2537280260585248,15.0,30.0,150.0,15.0,6.0,tt_error_func,
92,92.0,STTAx2,0.0978940256615013,0.2647611561696976,25.0,50.0,150.0,25.0,6.0,tt_error_func,
93,93.0,STTAx2,0.0247248132736712,0.3312524170614779,35.0,70.0,150.0,35.0,6.0,tt_error_func,
94,94.0,STTAx2,0.00455469469369,0.3852011521812528,45.0,90.0,150.0,45.0,6.0,tt_error_func,
95,95.0,STTAx2,0.0011143012374168,0.3912913419771939,55.0,110.0,150.0,55.0,6.0,tt_error_func,
96,96.0,STTAx2,0.0002236396833149,0.4937564069405198,65.0,130.0,150.0,65.0,6.0,tt_error_func,
97,97.0,STTAx2,5.898452095167028e-05,0.4613510591443628,75.0,150.0,150.0,75.0,6.0,tt_error_func,
98,98.0,STTAx2,1.1702393790356916e-05,0.5252683539874852,85.0,170.0,150.0,85.0,6.0,tt_error_func,
99,99.0,STTAx2,3.039441325183228e-06,0.564337118063122,95.0,190.0,150.0,95.0,6.0,tt_error_func,
100,100.0,STTAx2,4.995134670917171e-07,0.5256623299792409,105.0,210.0,150.0,105.0,6.0,tt_error_func,
101,101.0,STTAx2,1.0676330322542693e-07,0.6274735059123486,115.0,230.0,150.0,115.0,6.0,tt_error_func,
102,102.0,STTAx2,2.571436164996313e-08,0.619309987872839,125.0,250.0,150.0,125.0,6.0,tt_error_func,
103,103.0,STTAx2,4.8259078228157325e-09,0.7346744572278112,135.0,270.0,150.0,135.0,6.0,tt_error_func,
104,104.0,STTAx2,1.1456591668222301e-09,1.0234210768248886,145.0,290.0,150.0,145.0,6.0,tt_error_func,
105,105.0,STTAx2,1.88913942150684,0.1973001530859619,5.0,10.0,150.0,5.0,7.0,tt_error_func,
106,106.0,STTAx2,0.3568901018944801,0.2648977709468454,15.0,30.0,150.0,15.0,7.0,tt_error_func,
107,107.0,STTAx2,0.0858481512813567,0.3186603221110999,25.0,50.0,150.0,25.0,7.0,tt_error_func,
108,108.0,STTAx2,0.0163385546369316,0.2945411880500614,35.0,70.0,150.0,35.0,7.0,tt_error_func,
109,109.0,STTAx2,0.0057038027697554,0.3601121481042355,45.0,90.0,150.0,45.0,7.0,tt_error_func,
110,110.0,STTAx2,0.000894563615985,0.3325209200847894,55.0,110.0,150.0,55.0,7.0,tt_error_func,
111,111.0,STTAx2,0.0002820140992399,0.3999987209681421,65.0,130.0,150.0,65.0,7.0,tt_error_func,
112,112.0,STTAx2,3.967960775845756e-05,0.4518819700460881,75.0,150.0,150.0,75.0,7.0,tt_error_func,
113,113.0,STTAx2,1.022894960498441e-05,0.5073786829598248,85.0,170.0,150.0,85.0,7.0,tt_error_func,
114,114.0,STTAx2,2.2589918390668737e-06,0.5154564830008894,95.0,190.0,150.0,95.0,7.0,tt_error_func,
115,115.0,STTAx2,4.363468660159102e-07,0.6347502290736884,105.0,210.0,150.0,105.0,7.0,tt_error_func,
116,116.0,STTAx2,9.689506491224137e-08,0.6302223289385438,115.0,230.0,150.0,115.0,7.0,tt_error_func,
117,117.0,STTAx2,2.4387845662598637e-08,0.6151775859761983,125.0,250.0,150.0,125.0,7.0,tt_error_func,
118,118.0,STTAx2,4.1630184245863934e-09,0.7874223601538688,135.0,270.0,150.0,135.0,7.0,tt_error_func,
119,119.0,STTAx2,1.305240368653395e-09,0.814692763844505,145.0,290.0,150.0,145.0,7.0,tt_error_func,
120,120.0,STTAx2,1.0358389299973445,0.1749662950169295,5.0,10.0,150.0,5.0,8.0,tt_error_func,
121,121.0,STTAx2,0.3251820147678963,0.215724745998159,15.0,30.0,150.0,15.0,8.0,tt_error_func,
122,122.0,STTAx2,0.0747963213375491,0.2205866661388427,25.0,50.0,150.0,25.0,8.0,tt_error_func,
123,123.0,STTAx2,0.0184046080145174,0.2820680721197277,35.0,70.0,150.0,35.0,8.0,tt_error_func,
124,124.0,STTAx2,0.0044596748302795,0.3189247439149767,45.0,90.0,150.0,45.0,8.0,tt_error_func,
125,125.0,STTAx2,0.0009115218670924,0.4717376118060201,55.0,110.0,150.0,55.0,8.0,tt_error_func,
126,126.0,STTAx2,0.0002135833165989,0.403470705030486,65.0,130.0,150.0,65.0,8.0,tt_error_func,
127,127.0,STTAx2,5.0983570319032665e-05,0.4405716699548065,75.0,150.0,150.0,75.0,8.0,tt_error_func,
128,128.0,STTAx2,1.1983129793245184e-05,0.5157022089697421,85.0,170.0,150.0,85.0,8.0,tt_error_func,
129,129.0,STTAx2,2.150864777071605e-06,0.7122738589532673,95.0,190.0,150.0,95.0,8.0,tt_error_func,
130,130.0,STTAx2,5.238498722542574e-07,0.5234798800665885,105.0,210.0,150.0,105.0,8.0,tt_error_func,
131,131.0,STTAx2,9.803687354217029e-08,0.6813603818882257,115.0,230.0,150.0,115.0,8.0,tt_error_func,
132,132.0,STTAx2,1.730088328707439e-08,0.6037220458965749,125.0,250.0,150.0,125.0,8.0,tt_error_func,
133,133.0,STTAx2,5.085980242593695e-09,0.7982247429899871,135.0,270.0,150.0,135.0,8.0,tt_error_func,
134,134.0,STTAx2,8.391843411730157e-10,0.7491048690862954,145.0,290.0,150.0,145.0,8.0,tt_error_func,
135,135.0,STTAx2,1.3587795839000854,0.1892870890442282,5.0,10.0,150.0,5.0,9.0,tt_error_func,
136,136.0,STTAx2,0.3358029340269667,0.2860129931941628,15.0,30.0,150.0,15.0,9.0,tt_error_func,
137,137.0,STTAx2,0.0813908141805641,0.2547165430150926,25.0,50.0,150.0,25.0,9.0,tt_error_func,
138,138.0,STTAx2,0.0149556785076294,0.2861731201410293,35.0,70.0,150.0,35.0,9.0,tt_error_func,
139,139.0,STTAx2,0.0050189847590114,0.3367718760855496,45.0,90.0,150.0,45.0,9.0,tt_error_func,
140,140.0,STTAx2,0.0010624364405469,0.3537129238247871,55.0,110.0,150.0,55.0,9.0,tt_error_func,
141,141.0,STTAx2,0.000197626077799,0.488672446925193,65.0,130.0,150.0,65.0,9.0,tt_error_func,
142,142.0,STTAx2,4.4910614890739226e-05,0.5863698569592088,75.0,150.0,150.0,75.0,9.0,tt_error_func,
143,143.0,STTAx2,9.832697828156549e-06,0.5701212009880692,85.0,170.0,150.0,85.0,9.0,tt_error_func,
144,144.0,STTAx2,2.0913092439012803e-06,0.5992100269068033,95.0,190.0,150.0,95.0,9.0,tt_error_func,
145,145.0,STTAx2,3.492582409529629e-07,0.6326731438748538,105.0,210.0,150.0,105.0,9.0,tt_error_func,
146,146.0,STTAx2,9.646123244745201e-08,0.587332301074639,115.0,230.0,150.0,115.0,9.0,tt_error_func,
147,147.0,STTAx2,2.790060005386692e-08,0.6076182851102203,125.0,250.0,150.0,125.0,9.0,tt_error_func,
148,148.0,STTAx2,6.345802967477093e-09,0.8397439469117671,135.0,270.0,150.0,135.0,9.0,tt_error_func,
149,149.0,STTAx2,7.207693727906465e-10,0.8610153920017183,145.0,290.0,150.0,145.0,9.0,tt_error_func,
150,150.0,STTAx2,1.2631726706097974,0.167773175984621,5.0,10.0,150.0,5.0,10.0,tt_error_func,
151,151.0,STTAx2,0.4295978377213027,0.2358432807959616,15.0,30.0,150.0,15.0,10.0,tt_error_func,
152,152.0,STTAx2,0.0857518009181651,0.2607103339396417,25.0,50.0,150.0,25.0,10.0,tt_error_func,
153,153.0,STTAx2,0.0154106518940254,0.3375129229389131,35.0,70.0,150.0,35.0,10.0,tt_error_func,
154,154.0,STTAx2,0.0044833810234006,0.2901537320576608,45.0,90.0,150.0,45.0,10.0,tt_error_func,
155,155.0,STTAx2,0.0009003861761156,0.4347625179216265,55.0,110.0,150.0,55.0,10.0,tt_error_func,
156,156.0,STTAx2,0.0002014996712442,0.5162387399468571,65.0,130.0,150.0,65.0,10.0,tt_error_func,
157,157.0,STTAx2,5.718324144593383e-05,0.4587821390014142,75.0,150.0,150.0,75.0,10.0,tt_error_func,
158,158.0,STTAx2,1.6292181101680174e-05,0.5323780798353255,85.0,170.0,150.0,85.0,10.0,tt_error_func,
159,159.0,STTAx2,1.842970487172096e-06,0.5474384101107717,95.0,190.0,150.0,95.0,10.0,tt_error_func,
160,160.0,STTAx2,5.89435244347121e-07,0.604502412956208,105.0,210.0,150.0,105.0,10.0,tt_error_func,
161,161.0,STTAx2,1.0502594154369266e-07,0.5883112410083413,115.0,230.0,150.0,115.0,10.0,tt_error_func,
162,162.0,STTAx2,2.1050792807622907e-08,0.6295315800234675,125.0,250.0,150.0,125.0,10.0,tt_error_func,
163,163.0,STTAx2,4.167887539286217e-09,0.7588379180524498,135.0,270.0,150.0,135.0,10.0,tt_error_func,
164,164.0,STTAx2,8.092303508098974e-10,0.7736115180887282,145.0,290.0,150.0,145.0,10.0,tt_error_func,
165,165.0,STTAx2,1.281020310648261,0.1990962689742446,5.0,10.0,150.0,5.0,11.0,tt_error_func,
166,166.0,STTAx2,0.3270232140633833,0.2418127360288053,15.0,30.0,150.0,15.0,11.0,tt_error_func,
167,167.0,STTAx2,0.0685158447386921,0.2805616329424083,25.0,50.0,150.0,25.0,11.0,tt_error_func,
168,168.0,STTAx2,0.0175814059570929,0.3198974940460175,35.0,70.0,150.0,35.0,11.0,tt_error_func,
169,169.0,STTAx2,0.004289740100297,0.3559253448620438,45.0,90.0,150.0,45.0,11.0,tt_error_func,
170,170.0,STTAx2,0.0009680319150228,0.4521529199555516,55.0,110.0,150.0,55.0,11.0,tt_error_func,
171,171.0,STTAx2,0.0002265891547791,0.6633542550262064,65.0,130.0,150.0,65.0,11.0,tt_error_func,
172,172.0,STTAx2,4.616180770763353e-05,0.4639651859179139,75.0,150.0,150.0,75.0,11.0,tt_error_func,
173,173.0,STTAx2,9.457443383953994e-06,0.4726943399291485,85.0,170.0,150.0,85.0,11.0,tt_error_func,
174,174.0,STTAx2,2.103803257598308e-06,0.5914892561268061,95.0,190.0,150.0,95.0,11.0,tt_error_func,
175,175.0,STTAx2,3.812656592603562e-07,0.6007894349750131,105.0,210.0,150.0,105.0,11.0,tt_error_func,
176,176.0,STTAx2,9.089795179091533e-08,0.65025750012137,115.0,230.0,150.0,115.0,11.0,tt_error_func,
177,177.0,STTAx2,2.086464523872236e-08,0.6750085100065917,125.0,250.0,150.0,125.0,11.0,tt_error_func,
178,178.0,STTAx2,5.303098423835521e-09,0.764680715976283,135.0,270.0,150.0,135.0,11.0,tt_error_func,
179,179.0,STTAx2,9.93741456757583e-10,0.8935135579667985,145.0,290.0,150.0,145.0,11.0,tt_error_func,
180,180.0,STTAx2,1.359837532277928,0.2212476630229503,5.0,10.0,150.0,5.0,12.0,tt_error_func,
181,181.0,STTAx2,0.3337329763478988,0.2760571511462331,15.0,30.0,150.0,15.0,12.0,tt_error_func,
182,182.0,STTAx2,0.1161831843845073,0.251666713040322,25.0,50.0,150.0,25.0,12.0,tt_error_func,
183,183.0,STTAx2,0.0229837816446968,0.3258560481481254,35.0,70.0,150.0,35.0,12.0,tt_error_func,
184,184.0,STTAx2,0.004965659539275,0.3549966248683631,45.0,90.0,150.0,45.0,12.0,tt_error_func,
185,185.0,STTAx2,0.0011375410505863,0.4034267670940608,55.0,110.0,150.0,55.0,12.0,tt_error_func,
186,186.0,STTAx2,0.0002962760463839,0.5007123542018235,65.0,130.0,150.0,65.0,12.0,tt_error_func,
187,187.0,STTAx2,5.333425452620395e-05,0.5914185780566186,75.0,150.0,150.0,75.0,12.0,tt_error_func,
188,188.0,STTAx2,1.1251105879850265e-05,0.5183578559663147,85.0,170.0,150.0,85.0,12.0,tt_error_func,
189,189.0,STTAx2,2.300669231908856e-06,0.604274989105761,95.0,190.0,150.0,95.0,12.0,tt_error_func,
190,190.0,STTAx2,4.546958111375633e-07,0.5428622590843588,105.0,210.0,150.0,105.0,12.0,tt_error_func,
191,191.0,STTAx2,1.1133215115077276e-07,0.643787669017911,115.0,230.0,150.0,115.0,12.0,tt_error_func,
192,192.0,STTAx2,1.776292592739676e-08,0.7662042248994112,125.0,250.0,150.0,125.0,12.0,tt_error_func,
193,193.0,STTAx2,4.185204351981266e-09,0.6721877588424832,135.0,270.0,150.0,135.0,12.0,tt_error_func,
194,194.0,STTAx2,1.094796850254469e-09,0.872311346931383,145.0,290.0,150.0,145.0,12.0,tt_error_func,
195,195.0,STTAx2,1.598917358200594,0.1710581518709659,5.0,10.0,150.0,5.0,13.0,tt_error_func,
196,196.0,STTAx2,0.3582383136860766,0.2294983200263232,15.0,30.0,150.0,15.0,13.0,tt_error_func,
197,197.0,STTAx2,0.0961902923815686,0.2442054699640721,25.0,50.0,150.0,25.0,13.0,tt_error_func,
198,198.0,STTAx2,0.0180751429240992,0.2575289439409971,35.0,70.0,150.0,35.0,13.0,tt_error_func,
199,199.0,STTAx2,0.0049393828147769,0.3340104010421783,45.0,90.0,150.0,45.0,13.0,tt_error_func,
200,200.0,STTAx2,0.0013212676617574,0.3327575528528541,55.0,110.0,150.0,55.0,13.0,tt_error_func,
201,201.0,STTAx2,0.0002294991034977,0.4385031419806182,65.0,130.0,150.0,65.0,13.0,tt_error_func,
202,202.0,STTAx2,5.766234189962377e-05,0.5318985690828413,75.0,150.0,150.0,75.0,13.0,tt_error_func,
203,203.0,STTAx2,1.1766007640872065e-05,0.4348521579522639,85.0,170.0,150.0,85.0,13.0,tt_error_func,
204,204.0,STTAx2,2.815693759534957e-06,0.4840161199681461,95.0,190.0,150.0,95.0,13.0,tt_error_func,
205,205.0,STTAx2,4.7652328282457146e-07,0.6037535390350968,105.0,210.0,150.0,105.0,13.0,tt_error_func,
206,206.0,STTAx2,1.002029388768739e-07,0.6723861179780215,115.0,230.0,150.0,115.0,13.0,tt_error_func,
207,207.0,STTAx2,2.3573732240315764e-08,0.7241814620792866,125.0,250.0,150.0,125.0,13.0,tt_error_func,
208,208.0,STTAx2,4.737402256991803e-09,0.7613018320407718,135.0,270.0,150.0,135.0,13.0,tt_error_func,
209,209.0,STTAx2,9.391911411131515e-10,0.7678342889994383,145.0,290.0,150.0,145.0,13.0,tt_error_func,
210,210.0,STTAx2,1.3748954667819968,0.2576074609532952,5.0,10.0,150.0,5.0,14.0,tt_error_func,
211,211.0,STTAx2,0.2907110313133427,0.3353460789658129,15.0,30.0,150.0,15.0,14.0,tt_error_func,
212,212.0,STTAx2,0.0747941010486327,0.4237358800601214,25.0,50.0,150.0,25.0,14.0,tt_error_func,
213,213.0,STTAx2,0.0215856745959774,0.3262246828526258,35.0,70.0,150.0,35.0,14.0,tt_error_func,
214,214.0,STTAx2,0.005325371957878,0.3757086601108312,45.0,90.0,150.0,45.0,14.0,tt_error_func,
215,215.0,STTAx2,0.0011109383166593,0.3723603398539126,55.0,110.0,150.0,55.0,14.0,tt_error_func,
216,216.0,STTAx2,0.0003166057308023,0.4522242129314691,65.0,130.0,150.0,65.0,14.0,tt_error_func,
217,217.0,STTAx2,5.139302440568588e-05,0.6372827750165015,75.0,150.0,150.0,75.0,14.0,tt_error_func,
218,218.0,STTAx2,1.0619942848064425e-05,0.5280946190468967,85.0,170.0,150.0,85.0,14.0,tt_error_func,
219,219.0,STTAx2,1.949297968271079e-06,0.6907486428972334,95.0,190.0,150.0,95.0,14.0,tt_error_func,
220,220.0,STTAx2,4.046671337426137e-07,0.617562972009182,105.0,210.0,150.0,105.0,14.0,tt_error_func,
221,221.0,STTAx2,1.3470734860534777e-07,0.6659591849893332,115.0,230.0,150.0,115.0,14.0,tt_error_func,
222,222.0,STTAx2,3.2914024353598854e-08,0.5987715031951666,125.0,250.0,150.0,125.0,14.0,tt_error_func,
223,223.0,STTAx2,4.627733824635277e-09,0.6681081149727106,135.0,270.0,150.0,135.0,14.0,tt_error_func,
224,224.0,STTAx2,9.998628989595919e-10,0.8016634539235383,145.0,290.0,150.0,145.0,14.0,tt_error_func,
225,225.0,STTAx2,1.4487755706612373,0.2092591139953583,5.0,10.0,150.0,5.0,15.0,tt_error_func,
226,226.0,STTAx2,0.4075540187425731,0.2644015040714293,15.0,30.0,150.0,15.0,15.0,tt_error_func,
227,227.0,STTAx2,0.0838073333023654,0.2759905690327286,25.0,50.0,150.0,25.0,15.0,tt_error_func,
228,228.0,STTAx2,0.0235567690318793,0.2681955590378493,35.0,70.0,150.0,35.0,15.0,tt_error_func,
229,229.0,STTAx2,0.0042229178483172,0.3093419121578336,45.0,90.0,150.0,45.0,15.0,tt_error_func,
230,230.0,STTAx2,0.0010395086976975,0.3836515068542212,55.0,110.0,150.0,55.0,15.0,tt_error_func,
231,231.0,STTAx2,0.0001880691477762,0.4847936539445072,65.0,130.0,150.0,65.0,15.0,tt_error_func,
232,232.0,STTAx2,6.49673389919428e-05,0.4387534998822957,75.0,150.0,150.0,75.0,15.0,tt_error_func,
233,233.0,STTAx2,1.0508218214298346e-05,0.4478032211773097,85.0,170.0,150.0,85.0,15.0,tt_error_func,
234,234.0,STTAx2,2.773081575465609e-06,0.5407471519429237,95.0,190.0,150.0,95.0,15.0,tt_error_func,
