,Unnamed: 0.1,Unnamed: 0,name,error,time_taken,left_rank,right_rank,run,rank
60,60.0,60.0,OTTS,0.832605823542816,0.0192753849551081,3.0,6.0,0.0,
61,61.0,61.0,OTTS,0.8117109879016741,0.0064234649762511,3.0,6.0,1.0,
62,62.0,62.0,OTTS,0.8422841100724908,0.0060687884688377,3.0,6.0,2.0,
63,63.0,63.0,OTTS,0.8584591286583496,0.0138513157144188,3.0,6.0,3.0,
64,64.0,64.0,OTTS,0.7845971039150376,0.0117330849170684,3.0,6.0,4.0,
65,65.0,65.0,OTTS,0.8305991861471475,0.0127508305013179,3.0,6.0,5.0,
66,66.0,66.0,OTTS,0.7820491524984268,0.012899057008326,3.0,6.0,6.0,
67,67.0,67.0,OTTS,0.7429456886941351,0.0129199894145131,3.0,6.0,7.0,
68,68.0,68.0,OTTS,0.7843782547550832,0.0134525243192911,3.0,6.0,8.0,
69,69.0,69.0,OTTS,0.8654466392557404,0.0065918192267417,3.0,6.0,9.0,
70,70.0,70.0,OTTS,0.8139194424752721,0.0066108861938118,3.0,6.0,10.0,
71,71.0,71.0,OTTS,0.7633125910319769,0.0065635070204734,3.0,6.0,11.0,
72,72.0,72.0,OTTS,0.8029014341810088,0.0067228227853775,3.0,6.0,12.0,
73,73.0,73.0,OTTS,0.8611506873515099,0.0066224066540598,3.0,6.0,13.0,
74,74.0,74.0,OTTS,0.7913318610920256,0.0068050976842641,3.0,6.0,14.0,
75,75.0,75.0,OTTS,0.7413626857677749,0.0067623099312186,3.0,6.0,15.0,
76,76.0,76.0,OTTS,0.8118422052866386,0.0078419856727123,3.0,6.0,16.0,
77,77.0,77.0,OTTS,0.8074429104604263,0.00689054466784,3.0,6.0,17.0,
78,78.0,78.0,OTTS,0.7788825258876476,0.0257441010326147,3.0,6.0,18.0,
79,79.0,79.0,OTTS,0.8646813562472239,0.0111427046358585,3.0,6.0,19.0,
80,80.0,80.0,OTTS,0.7580411196063486,0.0135206272825598,3.0,6.0,20.0,
81,81.0,81.0,OTTS,0.7811784506942097,0.0126759177073836,3.0,6.0,21.0,
82,82.0,82.0,OTTS,0.7894717120363673,0.0409825081005692,3.0,6.0,22.0,
83,83.0,83.0,OTTS,0.8335132215127444,0.0185722028836607,3.0,6.0,23.0,
84,84.0,84.0,OTTS,0.8468076310424059,0.0065580364316701,3.0,6.0,24.0,
85,85.0,85.0,OTTS,0.8406629799011434,0.0066318269819021,3.0,6.0,25.0,
86,86.0,86.0,OTTS,0.7711007110432224,0.0210222620517015,3.0,6.0,26.0,
87,87.0,87.0,OTTS,0.8363823283303581,0.0067563327029347,3.0,6.0,27.0,
88,88.0,88.0,OTTS,0.8718580169768291,0.0066768415272235,3.0,6.0,28.0,
89,89.0,89.0,OTTS,0.7869889391973316,0.0065576108172535,3.0,6.0,29.0,
90,90.0,90.0,OTTS,0.5993596498639565,0.0067786891013383,4.0,8.0,0.0,
91,91.0,91.0,OTTS,0.5457921108934938,0.0074383141472935,4.0,8.0,1.0,
92,92.0,92.0,OTTS,0.5116351641107042,0.006515048444271,4.0,8.0,2.0,
93,93.0,93.0,OTTS,0.5885949548028309,0.0067336251959204,4.0,8.0,3.0,
94,94.0,94.0,OTTS,0.5229999720250003,0.0067469738423824,4.0,8.0,4.0,
95,95.0,95.0,OTTS,0.5471465526882447,0.0066454038023948,4.0,8.0,5.0,
96,96.0,96.0,OTTS,0.5492605532746241,0.0069090956822037,4.0,8.0,6.0,
97,97.0,97.0,OTTS,0.5180807069641776,0.0080208182334899,4.0,8.0,7.0,
98,98.0,98.0,OTTS,0.5438226543315164,0.0066083772107958,4.0,8.0,8.0,
99,99.0,99.0,OTTS,0.6073692784081213,0.0068698935210704,4.0,8.0,9.0,
100,100.0,100.0,OTTS,0.6544162889404339,0.0107691623270511,4.0,8.0,10.0,
