,name,error,time_taken,left_rank,right_rank,run,rank
0,OTTS,0.9757348840271655,0.012523803859949112,1.0,2.0,0.0,
1,OTTS,0.947121755584788,0.03223577793687582,1.0,2.0,1.0,
2,OTTS,0.9917843080477775,0.017796294763684273,1.0,2.0,2.0,
3,OTTS,0.9638779446506152,0.022711741738021374,1.0,2.0,3.0,
4,OTTS,0.977552591209012,0.017627935856580734,1.0,2.0,4.0,
5,OTTS,0.9931242481868722,0.01727001927793026,1.0,2.0,5.0,
6,OTTS,0.9912207620360852,0.01679271925240755,1.0,2.0,6.0,
7,OTTS,0.9829971106651962,0.017291491851210594,1.0,2.0,7.0,
8,OTTS,0.9448173873098822,0.07214145828038454,1.0,2.0,8.0,
9,OTTS,0.9988948659269236,0.040382915176451206,1.0,2.0,9.0,
10,OTTS,0.9531228985586434,0.016392755322158337,1.0,2.0,10.0,
11,OTTS,0.9319635415119083,0.017519586719572544,1.0,2.0,11.0,
12,OTTS,0.9565260197054986,0.024210384115576744,1.0,2.0,12.0,
13,OTTS,0.9671681148925557,0.01696829590946436,1.0,2.0,13.0,
14,OTTS,0.9963827475163572,0.016697177663445473,1.0,2.0,14.0,
15,OTTS,0.9344853235936593,0.019471105188131332,1.0,2.0,15.0,
16,OTTS,0.9696821001961763,0.016720863990485668,1.0,2.0,16.0,
17,OTTS,0.926978370635703,0.01670496817678213,1.0,2.0,17.0,
18,OTTS,0.9935654875162783,0.01800409145653248,1.0,2.0,18.0,
19,OTTS,0.9772389270376622,0.022667464800179005,1.0,2.0,19.0,
20,OTTS,0.9850878234091869,0.024729620665311813,1.0,2.0,20.0,
21,OTTS,0.9677790989199624,0.019850270822644234,1.0,2.0,21.0,
22,OTTS,0.9630919317357979,0.016762717626988888,1.0,2.0,22.0,
23,OTTS,0.9500662408907921,0.017052258364856243,1.0,2.0,23.0,
24,OTTS,0.9752259969620303,0.0171810332685709,1.0,2.0,24.0,
25,OTTS,0.9867207136794532,0.04792163521051407,1.0,2.0,25.0,
26,OTTS,0.9745576870243631,0.01660099159926176,1.0,2.0,26.0,
27,OTTS,0.9707063797669667,0.017101245000958443,1.0,2.0,27.0,
28,OTTS,0.9672495596107948,0.020994857884943485,1.0,2.0,28.0,
29,OTTS,0.9808077235467721,0.01664262916892767,1.0,2.0,29.0,
30,OTTS,0.8115229211878439,0.022893400862812996,2.0,4.0,0.0,
31,OTTS,0.7315355959766029,0.01965165138244629,2.0,4.0,1.0,
32,OTTS,0.7776579934891954,0.022231903858482838,2.0,4.0,2.0,
33,OTTS,0.7527054538817995,0.020330085419118404,2.0,4.0,3.0,
34,OTTS,0.8553065923235151,0.019905774854123592,2.0,4.0,4.0,
35,OTTS,0.8893958671063501,0.023925126530230045,2.0,4.0,5.0,
36,OTTS,0.8915784483196518,0.020204849541187286,2.0,4.0,6.0,
37,OTTS,0.8250901937834931,0.019834876991808414,2.0,4.0,7.0,
38,OTTS,0.7780273876392477,0.019387532956898212,2.0,4.0,8.0,
39,OTTS,0.8554318981206998,0.026460674591362476,2.0,4.0,9.0,
40,OTTS,0.7334403500481805,0.020564386621117592,2.0,4.0,10.0,
41,OTTS,0.828608301853327,0.043130320496857166,2.0,4.0,11.0,
42,OTTS,0.8944134330774076,0.021589073352515697,2.0,4.0,12.0,
43,OTTS,0.8094785229848436,0.02091914415359497,2.0,4.0,13.0,
44,OTTS,0.7986775704977834,0.027476047165691853,2.0,4.0,14.0,
45,OTTS,0.762541554120507,0.06226688716560602,2.0,4.0,15.0,
46,OTTS,0.7599388924946581,0.03331953566521406,2.0,4.0,16.0,
47,OTTS,0.836014969304842,0.03904355596750975,2.0,4.0,17.0,
48,OTTS,0.7000437037963606,0.020123914815485477,2.0,4.0,18.0,
49,OTTS,0.7736970937365362,0.027332612313330173,2.0,4.0,19.0,
50,OTTS,0.8996077262931036,0.023073973134160042,2.0,4.0,20.0,
51,OTTS,0.8357804948689711,0.02377212792634964,2.0,4.0,21.0,
52,OTTS,0.7911194860867797,0.02408672496676445,2.0,4.0,22.0,
53,OTTS,0.8102887680387217,0.024302097037434578,2.0,4.0,23.0,
54,OTTS,0.7754006231894176,0.023228224366903305,2.0,4.0,24.0,
55,OTTS,0.8188202724068866,0.020415124483406544,2.0,4.0,25.0,
56,OTTS,0.7463502976037827,0.020709166303277016,2.0,4.0,26.0,
57,OTTS,0.7199487345994191,0.02994925808161497,2.0,4.0,27.0,
58,OTTS,0.88737754360334,0.023126570507884026,2.0,4.0,28.0,
59,OTTS,0.9089645605306399,0.02158728428184986,2.0,4.0,29.0,
60,OTTS,0.35505413003490205,0.0217292383313179,3.0,6.0,0.0,
61,OTTS,0.17096629686199677,0.03098282590508461,3.0,6.0,1.0,
62,OTTS,0.1492065860359149,0.021838435903191566,3.0,6.0,2.0,
63,OTTS,0.1424788986489259,0.021463818848133087,3.0,6.0,3.0,
64,OTTS,0.255625912108553,0.021700771525502205,3.0,6.0,4.0,
65,OTTS,0.3263558371535441,0.021456580609083176,3.0,6.0,5.0,
66,OTTS,0.2671970421834956,0.02171332761645317,3.0,6.0,6.0,
67,OTTS,0.6512850062976655,0.02152164652943611,3.0,6.0,7.0,
68,OTTS,0.2179606067001885,0.022506089881062508,3.0,6.0,8.0,
69,OTTS,0.16911861498973838,0.02190001029521227,3.0,6.0,9.0,
70,OTTS,0.6134786959907654,0.022652757354080677,3.0,6.0,10.0,
71,OTTS,0.14331530720256452,0.06511019356548786,3.0,6.0,11.0,
72,OTTS,0.18413094520074638,0.03414697293192148,3.0,6.0,12.0,
