,Unnamed: 0.1,Unnamed: 0,name,error,time_taken,left_rank,right_rank,run,left_sketch_type,rank,left_drm_type,right_drm_type,drm_type
0,0.0,0.0,recursive_sketch,2.48930334547212e-08,0.0171971210002084,1.0,2.0,0.0,,,,,
1,1.0,1.0,recursive_sketch,5.289702952985337e-08,0.0170227910020912,1.0,2.0,1.0,,,,,
2,2.0,2.0,recursive_sketch,2.8756941707481392e-08,0.010019913999713,1.0,2.0,2.0,,,,,
3,3.0,3.0,recursive_sketch,4.607125815991837e-08,0.0095265920026577,1.0,2.0,3.0,,,,,
4,4.0,4.0,recursive_sketch,6.263950318216779e-07,0.0191477049993409,1.0,2.0,4.0,,,,,
5,5.0,5.0,recursive_sketch,5.099079375597192e-08,0.0079207099988707,1.0,2.0,5.0,,,,,
6,6.0,6.0,recursive_sketch,1.985302352076324e-07,0.0079986300006567,1.0,2.0,6.0,,,,,
7,7.0,7.0,recursive_sketch,1.194679930176633e-07,0.0114091739997093,1.0,2.0,7.0,,,,,
8,8.0,8.0,recursive_sketch,3.20894380055871e-07,0.0286015169986058,1.0,2.0,8.0,,,,,
9,9.0,9.0,recursive_sketch,3.705091792454351e-08,0.0201791660001617,1.0,2.0,9.0,,,,,
10,10.0,10.0,recursive_sketch,7.033499818158372e-10,0.027555687000131,2.0,4.0,0.0,,,,,
11,11.0,11.0,recursive_sketch,9.876166132352255e-10,0.0395141120025073,2.0,4.0,1.0,,,,,
12,12.0,12.0,recursive_sketch,2.0704240409437603e-09,0.0303310189992771,2.0,4.0,2.0,,,,,
13,13.0,13.0,recursive_sketch,9.826880360423101e-10,0.0379425689970958,2.0,4.0,3.0,,,,,
14,14.0,14.0,recursive_sketch,1.5523747384873107e-09,0.0593979879995458,2.0,4.0,4.0,,,,,
15,15.0,15.0,recursive_sketch,1.1266447891602196e-09,0.0531490390021645,2.0,4.0,5.0,,,,,
16,16.0,16.0,recursive_sketch,1.8526590457764342e-09,0.0380688389996066,2.0,4.0,6.0,,,,,
17,17.0,17.0,recursive_sketch,1.198499888228469e-09,0.0248578030004864,2.0,4.0,7.0,,,,,
18,18.0,18.0,recursive_sketch,1.7688422032217824e-09,0.0431904970027972,2.0,4.0,8.0,,,,,
19,19.0,19.0,recursive_sketch,1.0733498597911712e-09,0.0235308400006033,2.0,4.0,9.0,,,,,
20,20.0,20.0,recursive_sketch,4.3153479900172487e-10,0.0407482240007084,3.0,6.0,0.0,,,,,
21,21.0,21.0,recursive_sketch,6.849308655356487e-10,0.0799663249999866,3.0,6.0,1.0,,,,,
