,name,error,time_taken,left_rank,right_rank,left_drm_type,right_drm_type,run,rank,drm_type
0,OTTS,0.5738922195820477,0.07877909199987698,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,0.0,,
1,OTTS,0.09716178787546696,0.1399252979999801,1.0,2.0,TensorTrainDRM,TensorTrainDRM,0.0,,
2,OTTS,0.12853392852382167,0.07737294500020653,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,1.0,,
3,OTTS,0.44440392554725605,0.14539361999982248,1.0,2.0,TensorTrainDRM,TensorTrainDRM,1.0,,
4,OTTS,0.2039976497944168,0.05970426199996837,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,2.0,,
5,OTTS,0.42546476150763335,0.12684557100010352,1.0,2.0,TensorTrainDRM,TensorTrainDRM,2.0,,
6,OTTS,0.1333637896624438,0.06022485299990876,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,3.0,,
7,OTTS,0.1279948363900826,0.10108343000001696,1.0,2.0,TensorTrainDRM,TensorTrainDRM,3.0,,
8,OTTS,0.13217325910300076,0.06014217400002053,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,4.0,,
9,OTTS,0.11939426018710707,0.09292994799989174,1.0,2.0,TensorTrainDRM,TensorTrainDRM,4.0,,
10,OTTS,0.13493092767053397,0.06032540000001063,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,5.0,,
11,OTTS,0.9026237902576835,0.09318123599996397,1.0,2.0,TensorTrainDRM,TensorTrainDRM,5.0,,
12,OTTS,0.09386345764505162,0.06007254699989062,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,6.0,,
13,OTTS,0.6762947795814156,0.09549901799982763,1.0,2.0,TensorTrainDRM,TensorTrainDRM,6.0,,
14,OTTS,0.1692888167887923,0.05998764699984349,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,7.0,,
15,OTTS,0.13355978751300288,0.09485102300004655,1.0,2.0,TensorTrainDRM,TensorTrainDRM,7.0,,
16,OTTS,0.15763603743983995,0.06230451699980222,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,8.0,,
17,OTTS,0.4972198918296706,0.09456737900018197,1.0,2.0,TensorTrainDRM,TensorTrainDRM,8.0,,
18,OTTS,0.2117768159745009,0.05995983399998295,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,9.0,,
19,OTTS,0.44345517032576676,0.09544180900002175,1.0,2.0,TensorTrainDRM,TensorTrainDRM,9.0,,
20,OTTS,0.10506202764795665,0.060329339000190885,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,10.0,,
21,OTTS,0.43664803289850845,0.10518910199994025,1.0,2.0,TensorTrainDRM,TensorTrainDRM,10.0,,
22,OTTS,0.11021223609286718,0.06015127000000575,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,11.0,,
23,OTTS,0.13035729959500955,0.09302807199992458,1.0,2.0,TensorTrainDRM,TensorTrainDRM,11.0,,
24,OTTS,0.8929775178278133,0.05992552599991541,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,12.0,,
25,OTTS,0.13567076084559673,0.09334353099984583,1.0,2.0,TensorTrainDRM,TensorTrainDRM,12.0,,
26,OTTS,0.9999086389969559,0.06034704399985458,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,13.0,,
27,OTTS,0.09827162225792037,0.09648040000001856,1.0,2.0,TensorTrainDRM,TensorTrainDRM,13.0,,
28,OTTS,0.1443071429155983,0.059404147000122975,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,14.0,,
29,OTTS,0.13033108304314744,0.09852426700012984,1.0,2.0,TensorTrainDRM,TensorTrainDRM,14.0,,
30,OTTS,0.11948096369599141,0.060116905999848314,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,15.0,,
31,OTTS,0.7527184449417096,0.09549191199994311,1.0,2.0,TensorTrainDRM,TensorTrainDRM,15.0,,
32,OTTS,0.6061166727518542,0.06007943399981741,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,16.0,,
33,OTTS,0.11676055570413996,0.09245433699993555,1.0,2.0,TensorTrainDRM,TensorTrainDRM,16.0,,
34,OTTS,0.12672834212084785,0.06015998600014427,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,17.0,,
35,OTTS,0.09488135660392563,0.10941837299992585,1.0,2.0,TensorTrainDRM,TensorTrainDRM,17.0,,
36,OTTS,0.10860423853793531,0.060660909000034735,1.0,2.0,DenseGaussianDRM,DenseGaussianDRM,18.0,,
37,OTTS,0.16275999311319023,0.09518301000002793,1.0,2.0,TensorTrainDRM,TensorTrainDRM,18.0,,
