,Unnamed: 0,name,error,time_taken,left_rank,right_rank,run,rank
66,66.0,OTTS,0.0005244349772544,0.0364897148683667,4.0,8.0,6.0,
67,67.0,OTTS,0.0004444377551048,0.0471834698691964,4.0,8.0,7.0,
68,68.0,OTTS,0.0011623496154891,0.0417543333023786,4.0,8.0,8.0,
69,69.0,OTTS,0.0003808636461032,0.038310038857162,4.0,8.0,9.0,
70,70.0,OTTS,0.0010684072460802,0.0345530174672603,4.0,8.0,10.0,
71,71.0,OTTS,0.0008883977126342,0.0352110359817743,4.0,8.0,11.0,
72,72.0,OTTS,0.0005067990320386,0.0355971287935972,4.0,8.0,12.0,
73,73.0,OTTS,0.0004852283712637,0.0355503521859645,4.0,8.0,13.0,
74,74.0,OTTS,0.0004099500272627,0.0749743469059467,4.0,8.0,14.0,
75,75.0,OTTS,0.0005816434376684,0.087368594482541,4.0,8.0,15.0,
76,76.0,OTTS,0.0004007261150531,0.0781620778143405,4.0,8.0,16.0,
77,77.0,OTTS,0.0031200006449001,0.0411780243739485,4.0,8.0,17.0,
78,78.0,OTTS,0.0003953710357412,0.0347842536866664,4.0,8.0,18.0,
79,79.0,OTTS,0.0013616052824609,0.0357738155871629,4.0,8.0,19.0,
80,80.0,OTTS,0.0002758960493851,0.048373176716268,5.0,10.0,0.0,
81,81.0,OTTS,0.0002945229054859,0.0497560473158955,5.0,10.0,1.0,
82,82.0,OTTS,0.0002785219002057,0.04777901340276,5.0,10.0,2.0,
83,83.0,OTTS,0.0003541377650793,0.0500665549188852,5.0,10.0,3.0,
84,84.0,OTTS,0.0002114576830215,0.0490512764081358,5.0,10.0,4.0,
85,85.0,OTTS,0.0004181868546397,0.0475096460431814,5.0,10.0,5.0,
86,86.0,OTTS,0.0006460388765825,0.0544070275500416,5.0,10.0,6.0,
87,87.0,OTTS,0.0004467148701485,0.0480479523539543,5.0,10.0,7.0,
88,88.0,OTTS,0.000334726236085,0.084968059323728,5.0,10.0,8.0,
89,89.0,OTTS,0.0004073799802876,0.0533151002600789,5.0,10.0,9.0,
90,90.0,OTTS,0.0002912642846808,0.0478932037949562,5.0,10.0,10.0,
91,91.0,OTTS,0.0002347214448615,0.0840346971526742,5.0,10.0,11.0,
