,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
50,STTAx2,4.648675862550793e-05,0.7230163661297411,55.0,110.0,100.0,55.0,2.0,tt_error_func,
51,STTAx2,1.5973159924509952e-05,0.7401079048868269,60.0,120.0,100.0,60.0,2.0,tt_error_func,
52,STTAx2,4.193914361111785e-06,0.9362751729786396,65.0,130.0,100.0,65.0,2.0,tt_error_func,
53,STTAx2,1.5910614054999468e-06,0.8935060009825975,70.0,140.0,100.0,70.0,2.0,tt_error_func,
54,STTAx2,4.909884690552769e-07,1.0486498209647834,75.0,150.0,100.0,75.0,2.0,tt_error_func,
55,STTAx2,1.7759504921362607e-07,0.9172388729639351,80.0,160.0,100.0,80.0,2.0,tt_error_func,
56,STTAx2,4.782745755818556e-08,1.1263284960296005,85.0,170.0,100.0,85.0,2.0,tt_error_func,
57,STTAx2,1.5018326120733926e-08,1.0666941560339183,90.0,180.0,100.0,90.0,2.0,tt_error_func,
58,STTAx2,4.122824021826766e-09,1.0805615719873458,95.0,190.0,100.0,95.0,2.0,tt_error_func,
59,STTAx2,6.517462455625682e-12,1.164196436991915,100.0,200.0,100.0,100.0,2.0,tt_error_func,
60,STTAx2,1.409943142048484,0.3222669339738786,5.0,10.0,100.0,5.0,3.0,tt_error_func,
61,STTAx2,0.8182668064784862,0.4141710721887648,10.0,20.0,100.0,10.0,3.0,tt_error_func,
62,STTAx2,0.30963740827317776,0.4869103501550853,15.0,30.0,100.0,15.0,3.0,tt_error_func,
63,STTAx2,0.10571958247023654,0.504949799971655,20.0,40.0,100.0,20.0,3.0,tt_error_func,
64,STTAx2,0.04052355053114206,0.5012630329001695,25.0,50.0,100.0,25.0,3.0,tt_error_func,
65,STTAx2,0.012546869454138418,0.514234347967431,30.0,60.0,100.0,30.0,3.0,tt_error_func,
66,STTAx2,0.0038259522593670687,0.7975057160947472,35.0,70.0,100.0,35.0,3.0,tt_error_func,
67,STTAx2,0.0013790143469014453,0.5598917889874429,40.0,80.0,100.0,40.0,3.0,tt_error_func,
68,STTAx2,0.00046893467852759756,0.7728168531320989,45.0,90.0,100.0,45.0,3.0,tt_error_func,
69,STTAx2,0.0001380501075324031,0.6360194401349872,50.0,100.0,100.0,50.0,3.0,tt_error_func,
70,STTAx2,5.388497225115343e-05,0.7853469380643219,55.0,110.0,100.0,55.0,3.0,tt_error_func,
71,STTAx2,1.5111067759619465e-05,0.762655365979299,60.0,120.0,100.0,60.0,3.0,tt_error_func,
72,STTAx2,4.863795122601442e-06,0.8617745460942388,65.0,130.0,100.0,65.0,3.0,tt_error_func,
73,STTAx2,1.3438936939071842e-06,0.9794166060164571,70.0,140.0,100.0,70.0,3.0,tt_error_func,
74,STTAx2,5.322359124561833e-07,0.9499741729814559,75.0,150.0,100.0,75.0,3.0,tt_error_func,
75,STTAx2,1.660497798342949e-07,1.0338143620174378,80.0,160.0,100.0,80.0,3.0,tt_error_func,
